ID,Property_2,Property_3
"a94e6477-95c5-43da-9ed9-e17411b3a6fc","Lime",164897
"b8954b69-8f03-4993-9ae9-a371ccd2b278","Magenta rose",290339
"b554006c-1afd-4244-afe0-413c5d6ef0f6","Coffee",139013
"2531bab0-a4e2-440a-a447-37374d75b542","Carmine",134381
"f32efd39-b683-4e08-87a2-3430baf02624","Sapphire",99348
"b8a3448e-af21-448e-88a4-6d4643a57009","Taupe",75346
"59e65d05-88f6-4ba8-9206-ba0623dd864f","Blue-violet",19161
"48a7bfa2-4543-42b8-ba81-22f74a737aea","Electric blue",253526
"f51f1fe7-06b2-45f8-bd00-db8bc0985d8d","Copper",80334
"eea08b84-38df-4880-8e77-248b4003234f","Coral",158695
"e251d49d-e336-4971-b1fc-13b90d7d8a3d","Teal",7889
"564403cb-4595-45c3-8291-a4df444f7958","Pear",177498
"0a90c53c-1824-4dc1-96f0-38a52fedebf0","Violet",6895
"13230023-bc93-419b-9917-494fc083f6ac","Spring green",9363
"31d8fdfe-b6c4-4b5d-b673-514675eed8bd","Violet",297274
"06f0a351-7192-4339-a9e7-6c3a925e4034","Baby blue",75423
"9e6f6663-f0c1-4913-838c-d1ab917b97c2","Burgundy",93984
"7541d75e-a6ee-485e-a5a2-47716ccf0f7c","Maroon",134414
"7c70ad7b-b232-4095-b067-fd7f72c214ff","Lemon",175898
"040e8721-9511-4bf4-95ea-4dc3cb8159bb","Ochre",280778
"1788c11d-3f63-4eb6-90d1-2d8b5283329a","Byzantium",116261
"0b335b7a-f778-43b7-bf69-f993af0827fa","Coffee",136713
"c8f10b51-3a1f-424f-9cdc-35edc905cfb8","Gold",295286
"91dbdb44-e819-4e3b-9a03-ecd261e2e647","Lemon",164594
"7ef1e59d-8b85-41a3-80b2-b2ddefb476c2","Olive",186253
"0e57741b-8efc-486f-a4ce-4c22ba80d4b7","Pear",212371
"6fa73adf-acaf-4bd7-981a-9462b87e49bc","Harlequin",207760
"2484a040-9227-474f-8204-06828cb891e3","Plum",69614
"0337a8d0-1a23-4c39-a388-f51040334714","Olive",204619
"ade9332d-b0dc-4477-bbc6-bdeee6f784da","Prussian blue",1184
"64480141-7f5a-4917-a2ab-0d48ef8cb1cb","Coffee",270870
"9e37bf97-6281-48f9-8946-d56dfde5b27b","Byzantium",174092
"b2052bb2-c53d-497b-90d9-52424349356f","Viridian",121449
"97dcc877-c2ec-47a1-9cc1-6b4852c13342","Rose",165521
"99ef7ab3-4b1a-41eb-b481-ac55b388ecc8","Cerise",191803
"5ea2ba9b-9199-417a-8d76-4282a59495e8","Baby blue",133806
"c7e43be7-a865-4b02-9539-cec8c3490770","Gray",32431
"cdff2b37-2d12-47d8-b553-79286a9eabdd","Azure",85087
"56489764-c551-4f36-89a8-713fc55d40d4","Jade",281520
"73bf3af1-1e5c-4e10-8ca9-8572bce76abe","Taupe",214796
"074c71d4-431a-4c0c-a4e4-42d32614eaa2","Champagne",25150
"14250f5e-627f-4418-beb5-feed9298af2a","Blush",24926
"dca7cfa6-b840-40e8-980e-cb01ed670c52","Aquamarine",28467
"02d06257-ea47-4016-a781-485b30110a8f","Magenta rose",67176
"75ad1803-b1f3-4954-bfe7-16fc75ff603c","Crimson",19023
"a93cb1e9-36ee-44b5-b197-20493677dfd1","Maroon",163195
"fe856ba0-5b76-4d02-bc20-259994993c06","Ochre",95692
"300d77c4-63b0-4c2c-8547-98c1935421c3","Emerald",4727
